idhog,idper,estrato,comuna,sexo,edad,educ,ascendencia,salud,pobre,ingreso
2015000012,1,MA,1,H,42,12,BLANCA     ,NO,NO,16546
2015000022,1,MA,2,H,55,20,BLANCA     ,NO,NO,81669
2015000022,2,MA,2,M,50,15,BLANCA     ,NO,NO,33053
2015000022,3,MA,2,M,19,13,BLANCA     ,NO,NO,18553
2015000023,1,M ,13,H,28,5,BLANCA     ,NO,NO,16053
2015000028,1,MA,15,H,45,10,BLANCA     ,NO,NO,21546
2015000033,1,B ,17,M,53,6,BLANCA     ,NO,NO,18966
2015000033,2,B ,17,M,31,12,BLANCA     ,NO,NO,21546
2015000035,1,M ,6,H,41,10,BLANCA     ,NO,NO,36554
2015000035,2,M ,6,M,27,14,BLANCA     ,NO,NO,48554
2015000037,2,B ,17,M,47,9,BLANCA     ,NO,NO,14153
2015000039,1,MB,6,H,27,8,BLANCA     ,NO,NO,26546
2015000040,1,B ,14,H,47,8,BLANCA     ,SI,NO,12000
2015000058,1,M ,1,M,37,17,BLANCA     ,NO,NO,31546
2015000062,1,A ,8,H,29,16,BLANCA     ,NO,NO,17548
2015000066,1,MA,1,H,57,12,OTRA       ,NO,NO,39146
2015000070,1,M ,13,H,23,8,BLANCA     ,NO,NO,22133
2015000078,2,M ,12,H,24,8,BLANCA     ,NO,NO,30754
2015000085,1,MB,14,H,31,12,BLANCA     ,NO,NO,46900
2015000089,1,MA,7,H,49,12,BLANCA     ,NO,NO,57284
2015000099,1,MA,4,H,26,13,BLANCA     ,NO,NO,23092
2015000099,2,MA,4,M,41,16,BLANCA     ,NO,NO,73553
2015000104,1,MB,13,H,41,6,BLANCA     ,NO,NO,39638
2015000105,1,A ,5,H,32,18,BLANCA     ,NO,NO,56546
2015000105,2,A ,5,M,25,12,BLANCA     ,NO,NO,19546
2015000106,1,B ,10,H,55,4,BLANCA     ,NO,NO,15546
2015000106,3,B ,10,M,26,8,AFRO       ,NO,NO,18546
2015000120,2,MA,5,H,66,24,BLANCA     ,NO,NO,51554
2015000120,3,MA,5,H,30,18,BLANCA     ,NO,NO,26554
2015000121,1,B ,9,H,39,6,BLANCA     ,NO,NO,21053
2015000121,2,B ,9,M,36,10,BLANCA     ,NO,NO,14000
2015000130,1,M ,11,M,31,14,BLANCA     ,NO,NO,37554
2015000137,1,MA,4,M,51,12,BLANCA     ,NO,NO,24953
2015000137,2,MA,4,H,22,10,BLANCA     ,NO,NO,17053
2015000140,1,M ,11,H,31,16,BLANCA     ,NO,NO,18554
2015000140,2,M ,11,M,32,14,BLANCA     ,NO,NO,28554
2015000144,1,A ,7,H,63,11,BLANCA     ,NO,NO,20000
2015000144,2,A ,7,M,53,13,BLANCA     ,NO,NO,21554
2015000146,2,B ,9,H,29,10,OTRA       ,NO,NO,20000
2015000159,1,MA,2,H,37,14,BLANCA     ,NO,NO,35554
2015000165,1,B ,14,H,49,9,BLANCA     ,NO,NO,26546
2015000166,1,A ,5,M,50,12,BLANCA     ,NO,NO,63638
2015000167,1,MA,5,H,64,6,AFRO       ,NO,NO,27553
2015000172,1,M ,2,H,28,12,BLANCA     ,NO,NO,23553
2015000176,1,MA,5,M,66,17,BLANCA     ,NO,NO,36553
2015000179,1,MB,9,M,48,12,BLANCA     ,NO,SI,15546
2015000183,1,MA,7,M,30,17,BLANCA     ,NO,NO,24553
2015000183,2,MA,7,H,31,16,BLANCA     ,NO,NO,80000
2015000185,2,MB,11,M,40,9,BLANCA     ,NO,NO,18554
2015000189,1,MA,2,M,35,18,BLANCA     ,NO,NO,40554
2015000198,2,M ,8,H,31,11,BLANCA     ,NO,NO,30754
2015000203,1,MB,9,H,30,9,BLANCA     ,NO,SI,10553
2015000205,2,MA,7,M,45,14,BLANCA     ,NO,NO,29546
2015000207,1,M ,9,H,46,7,BLANCA     ,NO,NO,29803
2015000207,2,M ,9,M,46,6,OTRA       ,NO,NO,19253
2015000207,3,M ,9,H,20,10,OTRA       ,NO,NO,22553
2015000210,2,MA,5,M,45,16,BLANCA     ,NO,NO,36546
2015000216,3,M ,13,H,34,9,BLANCA     ,NO,NO,18546
2015000221,1,MA,7,H,51,12,BLANCA     ,NO,NO,36546
2015000221,2,MA,7,M,49,12,BLANCA     ,NO,NO,26546
2015000221,3,MA,7,M,31,14,BLANCA     ,NO,NO,26546
2015000221,4,MA,7,M,27,13,BLANCA     ,NO,NO,25546
2015000223,2,B ,10,H,24,6,BLANCA     ,SI,SI,18000
2015000225,1,MA,4,M,42,14,BLANCA     ,NO,NO,32553
2015000231,2,M ,2,H,46,14,BLANCA     ,NO,NO,66553
2015000237,2,MB,11,H,52,12,BLANCA     ,NO,NO,34554
2015000243,1,MA,16,H,64,13,BLANCA     ,NO,NO,40000
2015000247,1,MB,9,H,31,8,BLANCA     ,NO,NO,21546
2015000247,2,MB,9,M,32,9,BLANCA     ,NO,NO,17546
2015000249,1,MA,16,M,25,13,BLANCA     ,NO,NO,30153
2015000256,1,MA,7,M,35,15,BLANCA     ,NO,NO,27810
2015000256,2,MA,7,H,31,12,BLANCA     ,NO,NO,28554
2015000260,3,M ,13,H,44,16,BLANCA     ,NO,NO,28546
2015000260,4,M ,13,M,38,8,BLANCA     ,NO,NO,19546
2015000260,5,M ,13,H,24,9,OTRA       ,NO,NO,19546
2015000267,1,MA,7,H,38,10,OTRA       ,NO,NO,60000
2015000267,2,MA,7,H,20,9,OTRA       ,SI,NO,22000
2015000271,1,M ,11,M,44,10,BLANCA     ,NO,NO,22278
2015000284,1,M ,13,H,44,15,BLANCA     ,NO,NO,61553
2015000284,2,M ,13,M,44,18,BLANCA     ,NO,NO,26553
2015000296,1,MA,16,M,67,16,BLANCA     ,NO,NO,13546
2015000297,1,MB,17,H,52,12,BLANCA     ,NO,NO,31548
2015000298,3,B ,10,H,38,8,BLANCA     ,NO,NO,20553
2015000299,1,MA,5,M,26,12,BLANCA     ,NO,NO,21048
2015000299,2,MA,5,H,39,12,BLANCA     ,NO,NO,51548
